"data_interesse";"txcompetencia";"idatendimento"
"2019-01-01";"Química Forense";"3387"
"2019-01-01";"Traumatologia Forense";"2536"
"2019-01-01";"Local de crime contra o patrimônio";"1213"
"2019-01-01";"Identificação de veículos";"689"
"2019-01-01";"Informática Forense";"648"
"2019-01-01";"Tanatologia Forense";"629"
"2019-01-01";"Balística";"615"
"2019-01-01";"Local de crime contra a vida";"548"
"2019-01-01";"Sexologia Forense";"185"
"2019-01-01";"Engenharia Forense";"176"
"2019-01-01";"Perícias papiloscópicas";"160"
"2019-01-01";"Vestígios Biológicos";"160"
"2019-01-01";"Documentoscopia";"146"
"2019-01-01";"Toxicologia Forense";"110"
"2019-01-01";"Perícias ambientais";"86"
"2019-01-01";"Bioquímica Forense";"79"
"2019-01-01";"Áudio e Imagem";"37"
"2019-01-01";"Merceologia";"20"
"2019-01-01";"Anatomopatologia Forense";"14"
"2019-02-01";"Química Forense";"3988"
"2019-02-01";"Traumatologia Forense";"2400"
"2019-02-01";"Local de crime contra o patrimônio";"872"
"2019-02-01";"Identificação de veículos";"700"
"2019-02-01";"Balística";"671"
"2019-02-01";"Informática Forense";"614"
"2019-02-01";"Tanatologia Forense";"529"
"2019-02-01";"Local de crime contra a vida";"506"
"2019-02-01";"Perícias papiloscópicas";"223"
"2019-02-01";"Sexologia Forense";"196"
"2019-02-01";"Vestígios Biológicos";"169"
"2019-02-01";"Documentoscopia";"144"
"2019-02-01";"Engenharia Forense";"141"
"2019-02-01";"Toxicologia Forense";"139"
"2019-02-01";"Perícias ambientais";"93"
"2019-02-01";"Anatomopatologia Forense";"75"
"2019-02-01";"Bioquímica Forense";"54"
"2019-02-01";"Merceologia";"31"
"2019-02-01";"Áudio e Imagem";"25"
"2019-02-01";"Antropologia Forense";"2"
"2019-03-01";"Química Forense";"3801"
"2019-03-01";"Traumatologia Forense";"2248"
"2019-03-01";"Local de crime contra o patrimônio";"914"
"2019-03-01";"Identificação de veículos";"649"
"2019-03-01";"Balística";"534"
"2019-03-01";"Tanatologia Forense";"502"
"2019-03-01";"Local de crime contra a vida";"484"
"2019-03-01";"Informática Forense";"449"
"2019-03-01";"Bioquímica Forense";"405"
"2019-03-01";"Toxicologia Forense";"254"
"2019-03-01";"Vestígios Biológicos";"250"
"2019-03-01";"Sexologia Forense";"176"
"2019-03-01";"Documentoscopia";"170"
"2019-03-01";"Engenharia Forense";"159"
"2019-03-01";"Perícias papiloscópicas";"127"
"2019-03-01";"Perícias ambientais";"119"
"2019-03-01";"Anatomopatologia Forense";"31"
"2019-03-01";"Áudio e Imagem";"25"
"2019-03-01";"Merceologia";"22"
"2019-03-01";"Contabilidade Forense";"1"
"2019-04-01";"Química Forense";"3249"
"2019-04-01";"Traumatologia Forense";"2474"
"2019-04-01";"Local de crime contra o patrimônio";"688"
"2019-04-01";"Identificação de veículos";"650"
"2019-04-01";"Tanatologia Forense";"544"
"2019-04-01";"Vestígios Biológicos";"544"
"2019-04-01";"Balística";"533"
"2019-04-01";"Informática Forense";"530"
"2019-04-01";"Local de crime contra a vida";"456"
"2019-04-01";"Toxicologia Forense";"269"
"2019-04-01";"Sexologia Forense";"188"
"2019-04-01";"Perícias papiloscópicas";"179"
"2019-04-01";"Documentoscopia";"136"
"2019-04-01";"Engenharia Forense";"113"
"2019-04-01";"Perícias ambientais";"83"
"2019-04-01";"Bioquímica Forense";"60"
"2019-04-01";"Anatomopatologia Forense";"19"
"2019-04-01";"Merceologia";"13"
"2019-04-01";"Áudio e Imagem";"13"
"2019-04-01";"Antropologia Forense";"2"
"2019-04-01";"Contabilidade Forense";"1"
"2019-04-01";"Odontologia Forense";"1"
"2019-05-01";"Química Forense";"3235"
"2019-05-01";"Traumatologia Forense";"2463"
"2019-05-01";"Informática Forense";"860"
"2019-05-01";"Identificação de veículos";"712"
"2019-05-01";"Local de crime contra o patrimônio";"683"
"2019-05-01";"Balística";"680"
"2019-05-01";"Toxicologia Forense";"599"
"2019-05-01";"Vestígios Biológicos";"500"
"2019-05-01";"Tanatologia Forense";"464"
"2019-05-01";"Local de crime contra a vida";"394"
"2019-05-01";"Documentoscopia";"234"
"2019-05-01";"Perícias papiloscópicas";"179"
"2019-05-01";"Sexologia Forense";"167"
"2019-05-01";"Engenharia Forense";"145"
"2019-05-01";"Perícias ambientais";"115"
"2019-05-01";"Bioquímica Forense";"57"
"2019-05-01";"Áudio e Imagem";"25"
"2019-05-01";"Merceologia";"22"
"2019-05-01";"Anatomopatologia Forense";"9"
"2019-05-01";"Antropologia Forense";"8"
"2019-05-01";"Contabilidade Forense";"1"
"2019-06-01";"Traumatologia Forense";"2524"
"2019-06-01";"Química Forense";"2262"
"2019-06-01";"Informática Forense";"669"
"2019-06-01";"Local de crime contra o patrimônio";"648"
"2019-06-01";"Identificação de veículos";"567"
"2019-06-01";"Balística";"527"
"2019-06-01";"Tanatologia Forense";"516"
"2019-06-01";"Local de crime contra a vida";"430"
"2019-06-01";"Toxicologia Forense";"205"
"2019-06-01";"Sexologia Forense";"193"
"2019-06-01";"Documentoscopia";"180"
"2019-06-01";"Engenharia Forense";"135"
"2019-06-01";"Vestígios Biológicos";"132"
"2019-06-01";"Perícias papiloscópicas";"121"
"2019-06-01";"Perícias ambientais";"79"
"2019-06-01";"Bioquímica Forense";"37"
"2019-06-01";"Áudio e Imagem";"13"
