"data_interesse";"txcompetencia";"iddocumento"
"2019-01-01";"Traumatologia Forense";"2011"
"2019-01-01";"Química Forense";"1774"
"2019-01-01";"Identificação de veículos";"427"
"2019-01-01";"Balística";"388"
"2019-01-01";"Informática Forense";"377"
"2019-01-01";"Tanatologia Forense";"333"
"2019-01-01";"Local de crime contra o patrimônio";"299"
"2019-01-01";"Local de crime contra a vida";"193"
"2019-01-01";"Sexologia Forense";"155"
"2019-01-01";"Vestígios Biológicos";"140"
"2019-01-01";"Documentoscopia";"121"
"2019-01-01";"Engenharia Forense";"103"
"2019-01-01";"Toxicologia Forense";"56"
"2019-01-01";"Perícias papiloscópicas";"48"
"2019-01-01";"Perícias ambientais";"45"
"2019-01-01";"Áudio e Imagem";"22"
"2019-01-01";"Anatomopatologia Forense";"19"
"2019-01-01";"Merceologia";"16"
"2019-01-01";"Bioquímica Forense";"13"
"2019-02-01";"Traumatologia Forense";"1991"
"2019-02-01";"Química Forense";"1811"
"2019-02-01";"Balística";"393"
"2019-02-01";"Informática Forense";"379"
"2019-02-01";"Identificação de veículos";"360"
"2019-02-01";"Local de crime contra o patrimônio";"308"
"2019-02-01";"Tanatologia Forense";"275"
"2019-02-01";"Local de crime contra a vida";"188"
"2019-02-01";"Vestígios Biológicos";"167"
"2019-02-01";"Sexologia Forense";"157"
"2019-02-01";"Documentoscopia";"96"
"2019-02-01";"Engenharia Forense";"96"
"2019-02-01";"Toxicologia Forense";"68"
"2019-02-01";"Perícias papiloscópicas";"54"
"2019-02-01";"Anatomopatologia Forense";"45"
"2019-02-01";"Perícias ambientais";"37"
"2019-02-01";"Merceologia";"24"
"2019-02-01";"Bioquímica Forense";"18"
"2019-02-01";"Áudio e Imagem";"17"
"2019-03-01";"Traumatologia Forense";"1971"
"2019-03-01";"Química Forense";"1099"
"2019-03-01";"Identificação de veículos";"392"
"2019-03-01";"Balística";"335"
"2019-03-01";"Informática Forense";"328"
"2019-03-01";"Local de crime contra o patrimônio";"283"
"2019-03-01";"Tanatologia Forense";"267"
"2019-03-01";"Local de crime contra a vida";"163"
"2019-03-01";"Sexologia Forense";"149"
"2019-03-01";"Documentoscopia";"133"
"2019-03-01";"Toxicologia Forense";"127"
"2019-03-01";"Engenharia Forense";"80"
"2019-03-01";"Perícias papiloscópicas";"73"
"2019-03-01";"Perícias ambientais";"60"
"2019-03-01";"Vestígios Biológicos";"29"
"2019-03-01";"Anatomopatologia Forense";"21"
"2019-03-01";"Bioquímica Forense";"18"
"2019-03-01";"Merceologia";"17"
"2019-03-01";"Áudio e Imagem";"15"
"2019-03-01";"Contabilidade Forense";"1"
"2019-04-01";"Traumatologia Forense";"1925"
"2019-04-01";"Química Forense";"1889"
"2019-04-01";"Balística";"329"
"2019-04-01";"Identificação de veículos";"325"
"2019-04-01";"Informática Forense";"302"
"2019-04-01";"Tanatologia Forense";"294"
"2019-04-01";"Local de crime contra o patrimônio";"243"
"2019-04-01";"Toxicologia Forense";"155"
"2019-04-01";"Vestígios Biológicos";"155"
"2019-04-01";"Local de crime contra a vida";"154"
"2019-04-01";"Sexologia Forense";"146"
"2019-04-01";"Documentoscopia";"99"
"2019-04-01";"Perícias papiloscópicas";"80"
"2019-04-01";"Engenharia Forense";"61"
"2019-04-01";"Perícias ambientais";"49"
"2019-04-01";"Bioquímica Forense";"20"
"2019-04-01";"Merceologia";"12"
"2019-04-01";"Áudio e Imagem";"7"
"2019-04-01";"Anatomopatologia Forense";"2"
"2019-04-01";"Contabilidade Forense";"1"
"2019-05-01";"Traumatologia Forense";"2236"
"2019-05-01";"Química Forense";"1845"
"2019-05-01";"Toxicologia Forense";"450"
"2019-05-01";"Informática Forense";"431"
"2019-05-01";"Balística";"408"
"2019-05-01";"Identificação de veículos";"374"
"2019-05-01";"Local de crime contra o patrimônio";"308"
"2019-05-01";"Tanatologia Forense";"279"
"2019-05-01";"Local de crime contra a vida";"191"
"2019-05-01";"Documentoscopia";"170"
"2019-05-01";"Sexologia Forense";"152"
"2019-05-01";"Engenharia Forense";"95"
"2019-05-01";"Perícias ambientais";"91"
"2019-05-01";"Vestígios Biológicos";"74"
"2019-05-01";"Perícias papiloscópicas";"58"
"2019-05-01";"Áudio e Imagem";"14"
"2019-05-01";"Bioquímica Forense";"12"
"2019-05-01";"Merceologia";"11"
"2019-05-01";"Anatomopatologia Forense";"2"
"2019-05-01";"Contabilidade Forense";"1"
"2019-06-01";"Traumatologia Forense";"2586"
"2019-06-01";"Química Forense";"948"
"2019-06-01";"Informática Forense";"412"
"2019-06-01";"Tanatologia Forense";"342"
"2019-06-01";"Balística";"309"
"2019-06-01";"Identificação de veículos";"275"
"2019-06-01";"Local de crime contra o patrimônio";"230"
"2019-06-01";"Local de crime contra a vida";"142"
"2019-06-01";"Sexologia Forense";"137"
"2019-06-01";"Documentoscopia";"133"
"2019-06-01";"Toxicologia Forense";"133"
"2019-06-01";"Vestígios Biológicos";"70"
"2019-06-01";"Engenharia Forense";"68"
"2019-06-01";"Perícias ambientais";"48"
"2019-06-01";"Perícias papiloscópicas";"39"
"2019-06-01";"Bioquímica Forense";"10"
"2019-06-01";"Merceologia";"10"
"2019-06-01";"Áudio e Imagem";"7"
"2019-06-01";"Anatomopatologia Forense";"1"
"2019-06-01";"Contabilidade Forense";"1"
"2019-07-01";"Traumatologia Forense";"3191"
"2019-07-01";"Química Forense";"1329"
"2019-07-01";"Balística";"422"
"2019-07-01";"Identificação de veículos";"404"
"2019-07-01";"Informática Forense";"378"
"2019-07-01";"Tanatologia Forense";"321"
"2019-07-01";"Local de crime contra o patrimônio";"314"
"2019-07-01";"Toxicologia Forense";"302"
"2019-07-01";"Sexologia Forense";"210"
"2019-07-01";"Local de crime contra a vida";"161"
"2019-07-01";"Documentoscopia";"136"
"2019-07-01";"Perícias papiloscópicas";"99"
"2019-07-01";"Vestígios Biológicos";"87"
"2019-07-01";"Engenharia Forense";"71"
"2019-07-01";"Perícias ambientais";"64"
"2019-07-01";"Áudio e Imagem";"18"
"2019-07-01";"Merceologia";"15"
"2019-07-01";"Bioquímica Forense";"8"
"2019-07-01";"Anatomopatologia Forense";"3"
"2019-07-01";"Antropologia Forense";"2"
"2019-08-01";"Traumatologia Forense";"3218"
"2019-08-01";"Química Forense";"1371"
"2019-08-01";"Toxicologia Forense";"432"
"2019-08-01";"Balística";"404"
"2019-08-01";"Local de crime contra o patrimônio";"351"
"2019-08-01";"Identificação de veículos";"349"
"2019-08-01";"Tanatologia Forense";"311"
"2019-08-01";"Informática Forense";"307"
"2019-08-01";"Sexologia Forense";"278"
"2019-08-01";"Local de crime contra a vida";"187"
"2019-08-01";"Documentoscopia";"124"
"2019-08-01";"Engenharia Forense";"89"
"2019-08-01";"Vestígios Biológicos";"62"
"2019-08-01";"Perícias papiloscópicas";"58"
"2019-08-01";"Perícias ambientais";"53"
"2019-08-01";"Merceologia";"26"
"2019-08-01";"Bioquímica Forense";"10"
"2019-08-01";"Áudio e Imagem";"7"
"2019-08-01";"Anatomopatologia Forense";"5"
"2019-08-01";"Contabilidade Forense";"1"
"2019-09-01";"Traumatologia Forense";"3312"
"2019-09-01";"Química Forense";"1161"
"2019-09-01";"Toxicologia Forense";"524"
"2019-09-01";"Informática Forense";"495"
"2019-09-01";"Identificação de veículos";"372"
"2019-09-01";"Local de crime contra o patrimônio";"351"
"2019-09-01";"Balística";"339"
"2019-09-01";"Tanatologia Forense";"286"
"2019-09-01";"Sexologia Forense";"256"
"2019-09-01";"Local de crime contra a vida";"176"
"2019-09-01";"Documentoscopia";"141"
"2019-09-01";"Vestígios Biológicos";"116"
"2019-09-01";"Engenharia Forense";"96"
"2019-09-01";"Perícias papiloscópicas";"63"
"2019-09-01";"Perícias ambientais";"48"
"2019-09-01";"Bioquímica Forense";"14"
"2019-09-01";"Merceologia";"14"
"2019-09-01";"Áudio e Imagem";"9"
"2019-09-01";"Anatomopatologia Forense";"3"
"2019-10-01";"Traumatologia Forense";"3580"
"2019-10-01";"Química Forense";"1012"
"2019-10-01";"Informática Forense";"474"
"2019-10-01";"Balística";"380"
"2019-10-01";"Tanatologia Forense";"331"
"2019-10-01";"Local de crime contra o patrimônio";"309"
"2019-10-01";"Sexologia Forense";"306"
"2019-10-01";"Identificação de veículos";"302"
"2019-10-01";"Local de crime contra a vida";"184"
"2019-10-01";"Toxicologia Forense";"132"
"2019-10-01";"Documentoscopia";"130"
"2019-10-01";"Engenharia Forense";"113"
"2019-10-01";"Perícias papiloscópicas";"62"
"2019-10-01";"Perícias ambientais";"44"
"2019-10-01";"Vestígios Biológicos";"40"
"2019-10-01";"Bioquímica Forense";"23"
"2019-10-01";"Merceologia";"14"
"2019-10-01";"Áudio e Imagem";"14"
"2019-10-01";"Anatomopatologia Forense";"8"
"2019-11-01";"Traumatologia Forense";"3493"
"2019-11-01";"Química Forense";"955"
"2019-11-01";"Informática Forense";"418"
"2019-11-01";"Tanatologia Forense";"322"
"2019-11-01";"Sexologia Forense";"284"
"2019-11-01";"Identificação de veículos";"275"
"2019-11-01";"Balística";"265"
"2019-11-01";"Local de crime contra o patrimônio";"223"
