"data_interesse";"idatendimento"
"2019-01-01";"101"
"2019-01-02";"315"
"2019-01-03";"207"
"2019-01-04";"318"
"2019-01-05";"60"
"2019-01-06";"44"
"2019-01-07";"314"
"2019-01-08";"286"
"2019-01-09";"324"
"2019-01-10";"269"
"2019-01-11";"268"
"2019-01-12";"63"
"2019-01-13";"66"
"2019-01-14";"349"
"2019-01-15";"274"
"2019-01-16";"309"
"2019-01-17";"281"
"2019-01-18";"288"
"2019-01-19";"65"
"2019-01-20";"62"
"2019-01-21";"448"
"2019-01-22";"366"
"2019-01-23";"361"
"2019-01-24";"322"
"2019-01-25";"304"
"2019-01-26";"41"
"2019-01-27";"67"
"2019-01-28";"395"
"2019-01-29";"386"
"2019-01-30";"333"
"2019-01-31";"248"
"2019-02-01";"294"
"2019-02-02";"76"
"2019-02-03";"40"
"2019-02-04";"373"
"2019-02-05";"330"
"2019-02-06";"323"
"2019-02-07";"331"
"2019-02-08";"304"
"2019-02-09";"65"
"2019-02-10";"52"
"2019-02-11";"407"
"2019-02-12";"295"
"2019-02-13";"310"
"2019-02-14";"346"
"2019-02-15";"303"
"2019-02-16";"65"
"2019-02-17";"55"
"2019-02-18";"384"
"2019-02-19";"385"
"2019-02-20";"323"
"2019-02-21";"294"
"2019-02-22";"291"
"2019-02-23";"52"
"2019-02-24";"52"
"2019-02-25";"454"
"2019-02-26";"334"
"2019-02-27";"347"
"2019-02-28";"288"
"2019-03-01";"319"
"2019-03-02";"43"
"2019-03-03";"53"
"2019-03-04";"55"
"2019-03-05";"57"
"2019-03-06";"312"
"2019-03-07";"353"
"2019-03-08";"349"
"2019-03-09";"53"
"2019-03-10";"51"
"2019-03-11";"438"
"2019-03-12";"415"
"2019-03-13";"291"
"2019-03-14";"336"
"2019-03-15";"404"
"2019-03-16";"50"
"2019-03-17";"64"
"2019-03-18";"345"
"2019-03-19";"384"
"2019-03-20";"320"
"2019-03-21";"254"
"2019-03-22";"347"
"2019-03-23";"46"
"2019-03-24";"47"
"2019-03-25";"394"
"2019-03-26";"298"
"2019-03-27";"273"
"2019-03-28";"228"
"2019-03-29";"307"
"2019-03-30";"35"
"2019-03-31";"32"
"2019-04-01";"293"
"2019-04-02";"266"
"2019-04-03";"322"
"2019-04-04";"275"
"2019-04-05";"221"
"2019-04-06";"66"
"2019-04-07";"57"
"2019-04-08";"406"
"2019-04-09";"263"
"2019-04-10";"303"
"2019-04-11";"308"
"2019-04-12";"298"
"2019-04-13";"48"
"2019-04-14";"63"
"2019-04-15";"343"
"2019-04-16";"312"
"2019-04-17";"348"
"2019-04-18";"35"
"2019-04-19";"52"
"2019-04-20";"46"
"2019-04-21";"36"
"2019-04-22";"373"
"2019-04-23";"391"
"2019-04-24";"280"
"2019-04-25";"255"
"2019-04-26";"324"
"2019-04-27";"47"
"2019-04-28";"49"
"2019-04-29";"352"
"2019-04-30";"410"
"2019-05-01";"39"
"2019-05-02";"312"
"2019-05-03";"325"
"2019-05-04";"72"
"2019-05-05";"59"
"2019-05-06";"381"
"2019-05-07";"312"
"2019-05-08";"342"
"2019-05-09";"272"
"2019-05-10";"307"
"2019-05-11";"75"
"2019-05-12";"59"
"2019-05-13";"345"
"2019-05-14";"389"
"2019-05-15";"396"
"2019-05-16";"239"
"2019-05-17";"248"
"2019-05-18";"67"
"2019-05-19";"30"
"2019-05-20";"340"
"2019-05-21";"276"
"2019-05-22";"326"
"2019-05-23";"323"
"2019-05-24";"235"
"2019-05-25";"42"
"2019-05-26";"37"
"2019-05-27";"336"
"2019-05-28";"341"
"2019-05-29";"375"
"2019-05-30";"187"
"2019-05-31";"274"
"2019-06-01";"59"
"2019-06-02";"112"
"2019-06-03";"379"
"2019-06-04";"308"
"2019-06-05";"251"
"2019-06-06";"322"
"2019-06-07";"311"
"2019-06-08";"37"
"2019-06-09";"65"
"2019-06-10";"222"
"2019-06-11";"293"
"2019-06-12";"289"
"2019-06-13";"212"
"2019-06-14";"290"
"2019-06-15";"57"
"2019-06-16";"69"
