"data_interesse";"iddocumento"
"2019-01-01";"28.0"
"2019-01-02";"184.0"
"2019-01-03";"299.0"
"2019-01-04";"161.0"
"2019-01-05";"36.0"
"2019-01-06";"19.0"
"2019-01-07";"317.0"
"2019-01-08";"262.0"
"2019-01-09";"249.0"
"2019-01-10";"286.0"
"2019-01-11";"208.0"
"2019-01-12";"13.0"
"2019-01-13";"16.0"
"2019-01-14";"296.0"
"2019-01-15";"366.0"
"2019-01-16";"280.0"
"2019-01-17";"276.0"
"2019-01-18";"292.0"
"2019-01-19";"8.0"
"2019-01-20";"17.0"
"2019-01-21";"391.0"
"2019-01-22";"290.0"
"2019-01-23";"232.0"
"2019-01-24";"237.0"
"2019-01-25";"253.0"
"2019-01-26";"7.0"
"2019-01-27";"1.0"
"2019-01-28";"285.0"
"2019-01-29";"449.0"
"2019-01-30";"393.0"
"2019-01-31";"365.0"
"2019-02-01";"226.0"
"2019-02-02";"12.0"
"2019-02-03";"10.0"
"2019-02-04";"339.0"
"2019-02-05";"274.0"
"2019-02-06";"344.0"
"2019-02-07";"418.0"
"2019-02-08";"280.0"
"2019-02-09";"37.0"
"2019-02-10";"4.0"
"2019-02-11";"338.0"
"2019-02-12";"325.0"
"2019-02-13";"337.0"
"2019-02-14";"307.0"
"2019-02-15";"312.0"
"2019-02-16";"0.0"
"2019-02-17";"22.0"
"2019-02-18";"349.0"
"2019-02-19";"291.0"
"2019-02-20";"236.0"
"2019-02-21";"311.0"
"2019-02-22";"288.0"
"2019-02-23";"7.0"
"2019-02-24";"4.0"
"2019-02-25";"452.0"
"2019-02-26";"370.0"
"2019-02-27";"246.0"
"2019-02-28";"310.0"
"2019-03-01";"254.0"
"2019-03-02";"14.0"
"2019-03-03";"48.0"
"2019-03-04";"13.0"
"2019-03-05";"36.0"
"2019-03-06";"314.0"
"2019-03-07";"299.0"
"2019-03-08";"271.0"
"2019-03-09";"3.0"
"2019-03-10";"8.0"
"2019-03-11";"308.0"
"2019-03-12";"331.0"
"2019-03-13";"266.0"
"2019-03-14";"232.0"
"2019-03-15";"256.0"
"2019-03-16";"9.0"
"2019-03-17";"9.0"
"2019-03-18";"280.0"
"2019-03-19";"289.0"
"2019-03-20";"348.0"
"2019-03-21";"318.0"
"2019-03-22";"297.0"
"2019-03-23";"6.0"
"2019-03-24";"12.0"
