data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2018-07-03 12:42:00;2018;2018.17.702;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;HEMÍLIO
2018-10-03 17:16:00;2018;2018.12.2560;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Crimes Sexuais;NELSON
2018-11-09 15:44:00;2018;2018.1.8576;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2019-02-20 16:20:00;2019;2018.2.11714;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Crime Sexual;KARINA
2019-02-20 16:21:00;2019;2018.2.11714;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Crime Sexual;KARINA
2019-03-20 14:48:00;2019;2019.21.46;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KARINA
2019-03-20 16:32:00;2019;2019.4.478;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;CLINEU
2019-08-22 15:52:00;2019;2019.9.2392;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KARINA
2019-09-19 13:17:00;2019;2016.3.693;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;HEMÍLIO
2019-10-16 13:47:00;2019;2019.4.2206;Blumenau;Blumenau;Criminalística;Engenharia Forense;Incêndio (Grandes Proporções);DANIEL
2019-10-31 14:27:00;2019;2019.17.445;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2019-11-13 13:17:00;2019;2019.14.408;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2019-11-19 14:25:00;2019;2019.8.7830;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;GELSO
2019-11-19 15:18:00;2019;2019.22.2083;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KARINA
2019-12-04 16:39:00;2019;2019.13.601;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-01-12 14:57:00;2020;2020.8.415;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Crime Sexual;NELSON
2020-01-29 16:29:00;2020;2019.12.2406;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-01-29 16:33:00;2020;2019.12.3035;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;HEMÍLIO
2020-01-29 16:59:00;2020;2019.14.401;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;HEMÍLIO
2020-02-12 10:40:00;2020;2020.4.231;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2020-02-12 12:24:00;2020;2020.2.1612;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Crimes Sexuais;NELSON
2020-03-17 16:08:00;2020;2019.1.1551;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-04-16 15:41:00;2020;2020.4.284;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KELLY
2020-04-20 17:39:00;2020;2020.2.141;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;GELSO
2020-04-22 14:07:00;2020;2020.12.689;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-04-22 14:13:00;2020;2020.12.627;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-04-23 10:44:00;2020;2020.12.128;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2020-04-29 17:22:00;2020;2020.10.8;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;CLINEU
2020-05-05 16:12:00;2020;2020.17.10;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;GELSO
2020-05-15 16:40:00;2020;2020.8.1864;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KARINA
2020-05-25 15:55:00;2020;2020.2.4366;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Familiares de Pessoas Desaparecidas;CLINEU
2020-06-01 17:50:00;2020;2020.9.843;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-06-05 20:52:00;2020;2019.23.1097;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Crimes Sexuais;KARINA
2020-06-09 11:44:00;2020;2019.9.3589;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;GELSO
2020-06-09 16:41:00;2020;2020.24.239;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-06-09 17:52:00;2020;2020.29.102;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;HEMÍLIO
2020-06-09 18:18:00;2020;2020.8.2307;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2020-06-09 18:49:00;2020;2020.8.2393;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;GELSO
2020-06-25 12:04:00;2020;2017.2.2051;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-06-25 18:56:00;2020;2020.2.264;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-07-06 08:59:00;2020;2020.12.943;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2020-07-14 11:27:00;2020;2020.17.181;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
2020-07-28 13:47:00;2020;2019.2.7207;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;HEMÍLIO
2020-07-29 14:24:00;2020;2018.22.258;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-10 14:25:00;2020;2019.4.2223;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Perfis de Local de Crime ;KELLY
2020-08-18 15:44:00;2020;2020.2.6348;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;ODILON
2020-08-18 18:31:00;2020;2019.8.678;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-21 11:57:00;2020;2020.2.6450;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-21 17:02:00;2020;2020.2.6462;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-21 17:18:00;2020;2020.2.6464;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-21 17:52:00;2020;2020.9.494;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Inclusão no BPG de Restos Mortais Não Identificados ;CLINEU
2020-08-27 12:15:00;2020;2020.17.689;Florianópolis;Florianópolis;Análises Forenses;Bioquímica Forense;Verossimilhança;KARINA
